order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
1,ORD-20230918-00001,28.0,2023-09-18,cancelado,3036.91,6.0,240.0,637.75,3732.45,bank_transfer,,,
2,ORD-20250509-00002,9.0,2025-05-09,,3335.38,17.0,330.0,0.0,3798.8,credit_card,pickup,,
3,ORD-20240628-00003,33.0,2024-06-28,cancelado,1923.38,1.0,400.0,403.91,2708.06,,same_day,,
4,ORD-20240409-00004,17.0,2024-04-09,entregado,2879.09,14.0,0.0,604.61,1032011.05,cash_on_delivery,express,,
5,ORD-20250831-00005,27.0,2025-08-31,entregado,3074.64,0.0,130.0,645.67,3850.31,cash_on_delivery,express,,
6,ORD-20240211-00006,9.0,2024-02-11,procesando,2457.41,15.0,240.0,516.06,2844.86,,same_day,,
7,,8.0,2026-03-15,entregado,1097.6,16.0,240.0,230.5,1392.48,bank_transfer,,,
8,ORD-20250324-00008,19.0,,,1923.46,20.0,0.0,403.93,2312.7,cash_on_delivery,pickup,,Nota del cliente: Dejar en portería
9,ORD-20240724-00009,13.0,2024-07-24,enviado,636.18,0.0,60.0,133.6,810.69,debit_card,pickup,3.0,
10,ORD-20251010-00010,12.0,2025-10-10,procesando,1657.57,8.0,230.0,348.09,2103.05,paypal,same_day,,
11,ORD-20240110-00011,18.0,2024-01-10,pendiente,0.0,15.0,170.0,392.45,0.0,cash_on_delivery,same_day,,
12,ORD-20250911-00012,27.0,2025-09-11,procesando,1643.58,13.0,220.0,345.15,1995.06,debit_card,express,,
13,ORD-20230218-00013,,2023-02-18,procesando,2374.88,,450.0,0.0,3276.1,,same_day,,
14,ORD-20251125-00014,,2025-11-25,entregado,899.18,0.0,270.0,188.83,1358.01,cash_on_delivery,standard,,
15,ORD-20260212-00015,31.0,2026-02-12,enviado,723.76,2.0,460.0,0.0,1321.27,cash_on_delivery,pickup,7.0,
16,ORD-20230626-00016,27.0,2023-06-26,,809.23,3.0,200.0,169.94,1154.89,bank_transfer,same_day,4.0,
17,ORD-20240411-00017,13.0,2024-04-11,,0.0,18.0,390.0,0.0,2334.69,debit_card,same_day,,
18,ORD-20230615-00018,17.0,2023-06-15,enviado,1903.29,4.0,110.0,399.69,2336.85,cash_on_delivery,pickup,,
19,,24.0,2024-06-15,enviado,3916.26,16.0,0.0,822.41,4142.07,bank_transfer,,,
20,ORD-20240130-00020,6.0,2024-01-30,enviado,1377.98,7.0,360.0,289.38,1930.9,debit_card,pickup,,"Nota del cliente: Dejar en portería
"
21,ORD-20230614-00021,19.0,2023-06-14,procesando,1855.6,19.0,470.0,389.68,2362.72,credit_card,same_day,,
22,ORD-20250101-00022,31.0,2025-01-01,procesando,531.08,5.0,300.0,111.53,916.06,debit_card,standard,,
23,ORD-20250802-00023,28.0,2025-08-02,pendiente,2880.79,,170.0,604.97,3569.34,credit_card,express,,
24,ORD-20251231-00024,26.0,2025-12-31,pendiente,2309.48,15.0,290.0,484.99,2738.05,bank_transfer,standard,2.0,
25,ORD-20250112-00025,3.0,2025-01-12,entregado,1255.74,9.0,370.0,263.71,1776.43,credit_card,same_day,5.0,
26,ORD-20231123-00026,16.0,2023-11-23,entregado,3927.61,17.0,0.0,824.8,4284.72,credit_card,standard,,
27,ORD-20250124-00027,9.0,2025-01-24,enviado,0.0,,300.0,772.74,0.0,paypal,standard,6.0,
28,ORD-20231019-00028,2.0,2023-10-19,entregado,1959.22,4.0,300.0,411.44,2592.29,credit_card,standard,,Nota del cliente: Envolver para regalo
29,ORD-20250825-00029,3.0,2025-08-25,,2023.4,0.0,90.0,424.91,2538.31,paypal,express,6.0,
30,ORD-20250414-00030,100017.0,2025-04-14,entregado,0.0,16.0,170.0,0.0,1108.4,debit_card,same_day,,
31,ORD-20260129-00031,18.0,2026-01-29,cancelado,1829.4,9.0,320.0,384.17,2368.92,bank_transfer,same_day,,
32,ORD-20230517-00032,25.0,2023-05-17,enviado,1044.24,10.0,30.0,0.0,1189.11,paypal,standard,,
33,ORD-20250127-00033,19.0,2025-01-27,entregado,2948.9,18.0,400.0,619.27,3437.37,debit_card,standard,,
