inventory_id,product_id,warehouse_id,quantity,min_stock_level,max_stock_level,last_restock_date
1,1,3,477,31,988,2025-02-03
2,1,2,72000,44,886,2025-10-22
3,1,3,140,17,393,2024-08-18
4,2,3,343,34,776,2025-03-04
5,2,2,104,44,983,2024-09-29
6,2,100000,369,31,907,2025-05-07
7,3,5,164,50,753,2026-02-23
8,3,1,,23,467,2024-11-09
9,3,1,425,16,696,2025-06-28
10,4,1,142,15,486,2024-05-13
11,5,3,,43,551,2025-07-18
12,5,3,102,31,388,
13,5,3,0,13,307,2025-09-30
14,6,4,309,48,980,2024-03-07
15,7,2,,50,597,2025-03-21
16,,3,289,23,746,2024-06-16
17,8,4,264,,813,2025-01-29
18,8,,150,10,811,2026-05-19
19,8,3,262,46,411,2025-04-09
20,9,2,0,,848,2026-04-21
21,9,5,58,15,944,2025-09-23
22,9,4,452,31,226,2025-10-08
23,,2,98,,941,2026-03-16
24,10,2,88,33,890,29-05-2025
25,11,2,225,34,834,2025-06-01
26,11,5,N/A,47,366,2024-11-26
27,11,5,237888,20,791,2024-01-21
28,100011,5,402,35,927,
29,12,,109,21,615,2025-05-03
30,12,3,393,36,801,2026-02-01
31,13,2,400,44,882,2026-03-16
32,13,5,144,30,989,2026-01-06
33,14,3,268,42,879,2025-11-29
34,14,4,112,19,283,2025-11-06
35,15,4,25,24,911,2025-11-13
36,15,,60,,993,2025-09-22
37,16,4,85556,14,,2025-09-01
38,17,1,267,38,525,2025-10-14
39,17,,-361,48,,2025-06-06
40,17,3,41,42,,2025-07-02
41,18,2,-291,42,291,30 Jan 2025
42,,4,34,45,470,2026-03-06
43,19,2,485,50,799,2024-06-23
44,100018,100000,11,35,546,28 Oct 2024
45,19,5,132,11,486,2025-09-19
46,20,2,487,43,332,2026-06-06
47,,100004,13,10,893,2025-11-17
17,8,4,264,,813,2025-01-29
