order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,3,,334.66,1338.64
2,1,4,3,,
3,1,11,3,300.55,901.65
4,2,4,5,265.54,1327.7
5,2,14,1,235.77,235.77
6,2,5,2,223.43,446.86
7,2,8,1,124.4,124.4
8,2,10,5,240.13,1200.65
9,3,5,2,223.43,0
10,3,7,5,57.86,289.3
11,,11,3,300.55,901.65
12,3,13,3,95.19,285.57
13,4,9,3,19.67,59.01
14,4,16,3,83.92,251.76
15,,12,4,289.57,1158.28
16,4,16,3,83.92,251.76
17,4,12,4,289.57,1158.28
18,5,3,2,334.66,669.32
19,,15,2,499.83,999.66
20,5,4,5,265.54,1327.7
21,5,6,1,77.96,77.96
22,6,10,5,240.13,1200.65
23,6,3,2,334.66,669.32
24,6,,3,83.92,251.76
25,6,16,4,83.92,335.68
26,7,1,4,274.4,1097.6
27,8,12,5,289.57,1447.85
28,8,6,2,77.96,
29,8,,1,235.77,235.77
30,8,100015,1,83.92,83.92
31,9,11,1,300.55,300.55
32,,6,1,77.96,77.96
33,9,18,,85.89,
34,10,1,5,274.4,1372
35,10,13,3,95.19,285.57
36,100010,100007,4,124.4,497.6
37,11,17,5,223.89,1119.45
38,11,16,3,83.92,251.76
39,,18,-4,85.89,343.56
40,12,16,2,83.92,167.84
41,12,11,2,N/A,601.1
42,12,4,2,265.54,531.08
43,13,7,0,57.86,
44,13,2,4,371.12,
45,13,11,2,300.55,601.1
46,14,100017,1,85.89,85.89
47,14,20,1,135.8,135.8
48,14,9,5,-19.67,98.35
49,14,12,2,289.57,579.14
50,,100015,4,83.92,335.68
51,15,6,1,77.96,77.96
52,15,100008,4,-19.67,78.68
53,15,7,4,57.86,231.44
54,16,15,1,499.83,
55,16,6,1,77.96,77.96
56,100015,7,4,57.86,231.44
57,17,5,5,223.43,1117.15
58,17,3,1,334.66,334.66
59,17,8,1,124.4,124.4
60,,6,4,77.96,0
61,18,3,4,334.66,N/A
62,18,18,,85.89,171.78
63,18,9,1,19.67,8694.140000000001
64,,8,3,124.4,183614.4
65,,11,4,300.55,1202.2
66,19,6,5,77.96,389.8
67,19,19,3,404.68,
68,19,4,2,265.54,531.08
69,19,,2,289.57,579.14
70,20,3,4,334.66,1338.64
71,20,9,2,19.67,39.34
72,100020,2,5,371.12,1855.6
73,22,4,2,265.54,531.08
74,23,18,1,85.89,85.89
75,23,100007,,124.4,622
76,23,7,3,57.86,173.58
77,23,15,4,499.83,1999.32
78,24,10,2,240.13,480.26
79,24,3,5,334.66,1673.3
80,24,6,2,,155.92
81,25,16,3,83.92,251.76
82,25,3,3,334.66,1003.98
83,26,13,5,95.19,475.95
