year,month,month_name,total_orders,total_items,total_sales
2023,1,January,1,3,2595.06
2023,2,February,2,8,2882.3
2023,3,March,3,6,3010.41
2023,4,April,1,4,1175.89
2023,5,May,2,7,3333.55
2023,6,June,3,8,9138.55
2023,7,July,3,9,4861.52
2023,9,September,6,13,10021.31
2023,10,October,1,5,1280.22
2023,11,November,1,4,2588.97
2023,12,December,1,1,1499.49
2024,1,January,4,11,7407.27
2024,2,February,1,4,2457.41
2024,3,March,3,8,4932.03
2024,4,April,4,10,5583.1
2024,6,June,2,7,2074.89
2024,7,July,1,2,300.55
2024,8,August,4,9,6201.34
2024,10,October,3,6,5312.49
2024,11,November,3,6,3675.31
2025,1,January,6,15,11476.05
2025,2,February,1,3,985.57
2025,3,March,3,10,5179.41
2025,4,April,3,8,4716.31
2025,5,May,2,7,4571.62
2025,6,June,2,4,2529.92
2025,7,July,2,4,4298.69
2025,8,August,4,10,7852.2
2025,9,September,2,5,1523.45
2025,10,October,2,4,1813.49
2025,11,November,2,5,1619.57
2025,12,December,3,10,9172.36
2026,1,January,2,8,5617.11
2026,2,February,2,7,1157.01
2026,3,March,2,2,1698.7
2026,5,May,3,7,5302.68
2026,8,August,1,2,671.67
,,,19,68,719717.22
