order_id,order_number,customer_id,order_date,status,subtotal,discount_percent,shipping_cost,tax_amount,total_amount,payment_method,shipping_method,promotion_id,notes
1,ORD-20230918-00001,28,2023-09-18,cancelado,3036.91,6,240,637.75,3732.45,bank_transfer,,,
2,ORD-20250509-00002,9,2025-05-09,,3335.38,17,330,N/A,3798.8,credit_card,pickup,,
3,ORD-20240628-00003,33,2024-06-28,cancelado,1923.38,1,400,403.91,2708.06,,same_day,,
4,ORD-20240409-00004,17,2024-04-09,entregado,2879.09,14,0,604.61,1032011.05,cash_on_delivery,express,,
5,ORD-20250831-00005,27,2025-08-31,entregado,3074.64,0,130,645.67,3850.31,cash_on_delivery,express,,
6,ORD-20240211-00006,9,2024-02-11,procesando,2457.41,15,240,516.06,2844.86,,same_day,,
7,,8,2026-03-15,entregado,1097.6,16,240,230.5,1392.48,bank_transfer,,,
8,ORD-20250324-00008,19,2025/03/24,,1923.46,20,0,403.93,2312.7,cash_on_delivery,pickup,,Nota del cliente: Dejar en portería
9,ORD-20240724-00009,13,2024-07-24,enviado,636.18,0,60,133.6,810.69,debit_card,pickup,3,
10,ORD-20251010-00010,12,2025-10-10,procesando,1657.57,8,230,348.09,2103.05,paypal,same_day,,
11,ORD-20240110-00011,18,2024-01-10,pendiente,0,15,170,392.45,,cash_on_delivery,same_day,,
12,ORD-20250911-00012,27,2025-09-11,procesando,1643.58,13,220,345.15,1995.06,Debit_card,express,,
13,ORD-20230218-00013,,2023-02-18,procesando,2374.88,,450,,3276.1,,same_day,,
14,ORD-20251125-00014,,2025-11-25,entregado,899.18,0,270,188.83,1358.01,cash_on_delivery,standard,,
15,ORD-20260212-00015,31,2026-02-12,enviado,723.76,2,460,0,1321.27,cash_on_delivery,pickup,7,
16,ORD-20230626-00016,27,2023-06-26,,809.23,3,200,169.94,1154.89,bank_transfer,same_day,4,
17,ORD-20240411-00017,13,2024-04-11,,0,18,390,,2334.69,debit_card,same_day,,
18,ORD-20230615-00018,17,2023-06-15,enviado,1903.29,4,110,399.69,2336.85,Cash_on_delivery,pickup,,
19,,24,2024-06-15,enviado,3916.26,16,,822.41,4142.07,bank_transfer,,,
20,ORD-20240130-00020,6,2024-01-30,enviado,1377.98,7,360,289.38,1930.9,debit_card,pickup,,"Nota del cliente: Dejar en portería
"
21,ORD-20230614-00021,19,2023-06-14,procesando,1855.6,19,470,389.68,2362.72,credit_card,same_day,,
22,ORD-20250101-00022,31,2025-01-01,procesando,531.08,5,300,111.53,916.06,debit_card,standard,,
23,ORD-20250802-00023,28,2025-08-02,pendiente,2880.79,N/A,170,604.97,3569.34,credit_card,express,,
24,ORD-20251231-00024,26,2025-12-31,pendiente,2309.48,15,290,484.99,2738.05,bank_transfer,standard,2,
25,ORD-20250112-00025,3,2025-01-12,entregado,1255.74,9,370,263.71,1776.43,credit_card,same_day,5,
26,ORD-20231123-00026,16,2023-11-23,entregado,3927.61,17,,824.8,4284.72,credit_card,standard,,
27,ORD-20250124-00027,9,2025-01-24,enviado,,,300,772.74,,paypal,standard,6,
28,ORD-20231019-00028,2,2023-10-19,entregado,1959.22,4,300,411.44,2592.29,credit_card,standard,,Nota del cliente: Envolver para regalo
29,ORD-20250825-00029,3,2025-08-25,,2023.4,0,90,424.91,2538.31,paypal,express,6,
30,ORD-20250414-00030,100017,2025-04-14,entregado,,16,170,,1108.4,debit_card,same_day,,
31,ORD-20260129-00031,18,2026-01-29,cancelado,1829.4,9,320,384.17,2368.92,bank_transfer,same_day,,
32,ORD-20230517-00032,25,2023-05-17,enviado,1044.24,10,30,,1189.11,paypal,standard,,
33,ORD-20250127-00033,19,2025-01-27,entregado,2948.9,18,400,619.27,3437.37,debit_card,standard,,
34,ORD-20250608-00034,22,2025-06-08,pendiente,1412.77,9,,296.68,1842.3,bank_transfer,standard,1,
35,ORD-20230203-00035,15,2023-02-03,enviado_v2,2581.75,15,60,,2796.66,bank_transfer,express,6,
36,ORD-20251217-00036,17,2025-12-17,entregado,4432.08,13,60,930.74,4846.65,,express,8,Nota del cliente: Llamar antes
37,ORD-20251101-00037,13,2025-11-01,cancelado,720.39,18,370,151.28,1112,debit_card,express,,
38,ORD-20250207-00038,20,2025-02-07,pendiente,1586.67,,280,333.2,2088.8,bank_transfer,express,,
39,ORD-20240817-00039,100027,2024-08-17,entregado,2381.66,10,10,500.15,-2653.64,credit_card,express,,
40,ORD-20230316-00040,8,2023-03-16,enviado,1630.86,4,80,342.48,1988.11,paypal,express,,
41,ORD-20240314-00041,1,2024-03-14,entregado,2636.57,12,360,553.68,3233.86,credit_card,same_day,6,
42,ORD-20260512-00042,26,2026-05-12,entregado,2186.79,9,60,,2509.21,paypla,standard,,
43,,3,2023-07-23,,1973.1,10,480,414.35,2670.14,cash_on_delivery,pickup,,
44,,25,,,4952.47,14,,1040.02,5619.14,paypal,pickpu,,
45,ORD-20260312-00045,22,2026-03-12,enviado,,9,400,126.23,1073.23,bank_transfer,standard,,
46,ORD-20250804-00046,,2025-08-04,enviado,873.03,11,40,183.34,1000.34,debit_card,express,,Nota del cliente: Llamar antes
47,ORD-20241113-00047,100022,2024-11-13,enviado,2123325.53,,490,645.29,3993.02,credit_card,standard,,
48,ORD-20240112-00048,31,2024-01-12,procesando,3401.86,10,130,714.39,3906.06,paypal,express,,
49,,33,2023-07-30,pendiente,2997.85,,230,629.55,3467.68,bank_transfer,pickup,,Nota del cliente: Llamar antes
50,ORD-20230717-00050,24,,pendiente,1731.3,3,,363.57,2492.93,cash_on_delivery,express,,
51,,13,08/23/2024,procesando,1822.13,2,130,382.65,2298.34,debit_card,same_day,10,
52,ORD-20231206-00052,15,2023-12-06,enviado,1499.49,9,200,314.89,1879.43,credit_card,same_day,,
53,ORD-20230322-00053,20,2023-03-22,procesando,796.62,0,90,167.29,,credit_card,standard,7,
54,ORD-20251226-00054,5,2025-12-26,procesando,2430.8,13,30,510.47,2655.27,bank_transfer,express,1,Nota del cliente: Dejar en portería
55,ORD-20250606-00055,5,2025-06-06,procesando,1117.15,5,240,234.6,,cash_on_delivery,,1,
56,ORD-20250413-00056,9,2025-04-13,entregado,1504.79,16,,316.01,2020.03,debit_card,standard,,
57,ORD-20230720-00057,2,,enviado,1401.83,5,260,294.38,1886.12,,standard,,
58,ORD-20250508-00058,23,2025-05-08,enviado,1236.24,1,430,259.61,1913.49,debit_card,standard,3,
59,ORD-20250704-00059,20,2025-07-04,procesando,3081.81,,100,647.18,3644.08,cash_on_delivery,pickup,,Nota del cliente: Dejar en portería
60,ORD-20230903-00060,5,2023-09-03,enviado,2939.52,19,60,617.3,3058.31,cash_on_delivery,express,,
61,ORD-20251028-00061,16,2025-10-28,Entregado,1829.22,1,0,384.14,,bank_transfer,pickup,,
62,ORD-20230620-00062,34,2023-06-20,entregado,,16,470,617.62,3558.1,debit_card,same_day,,
63,ORD-20240821-00063,15,2024-08-21,procesando,2359.78,14,,495.55,2564.96,credit_card,pickup,,
64,ORD-20241102-00064,27,2024-11-02,enviado,1171.5,20,420,246.02,1603.22,bank_transfer_v2,same_day,,
65,ORD-20260119-00065,1,2026-01-19,entregado,3787.71,18,400,795.42,4301.34,debit_card,express,10,
66,ORD-20250807-00066,18,,pendiente,,0,40,709.74,4129.46,credit_card,same_day,,
67,,32,2023-01-18,pendiente_v2,4485.38,3,70,941.93,5362.75,cash_on_delivery,pickup,,
68,ORD-20241025-00068,10,2024-10-25,procesando,1427.5,11,40,299.78,1610.26,debit_card,same_day,,
69,ORD-20241001-00069,32,2024-10-01,entregado,2499.15,1,360,524.82,3358.98,credit_card,standard,,
70,ORD-20250315-00070,15,2025-03-15,procesando,265.54,4,80,,390.68,credit_card,standard,,
