order_id,customer_id,product_id,order_date,quantity,unit_price,status,updated_at
1001,C001,P001,2026-01-05,2,799.00,completed,2026-01-05 10:15:00
1002,C002,P002,2026-01-06,1,1299.00,completed,2026-01-06 14:20:00
1003,C003,P003,2026-01-07,3,49.90,pending,2026-01-07 09:35:00
1004,C001,P004,2026-01-08,1,199.00,completed,2026-01-08 18:05:00
1005,C004,P005,2026-01-09,4,24.50,cancelled,2026-01-09 11:45:00
1006,C005,P002,2026-01-10,1,1299.00,completed,2026-01-10 16:30:00
1007,C002,P006,2026-01-11,2,89.00,completed,2026-01-11 12:10:00
1008,C006,P003,2026-01-12,5,49.90,completed,2026-01-12 13:50:00
1009,C003,P001,2026-01-13,1,799.00,returned,2026-01-13 17:25:00
1010,C007,P007,2026-01-14,2,149.00,completed,2026-01-14 19:40:00
1011,C008,P008,2026-01-15,1,399.00,pending,2026-01-15 08:55:00
1012,C004,P006,2026-01-16,3,89.00,completed,2026-01-16 15:05:00
